cumulative_targets_percent,cumulative_assignments_percent
18.95006570,6.93296833
19.00000000,6.95123702
19.04993430,6.96950571
19.10005632,6.98784308
19.14999061,7.00611177
19.19992491,7.02438046
19.25004693,7.04271783
19.29998123,7.06098652
19.34991552,7.07925521
19.40003754,7.09759258
19.44997184,7.11586128
19.50009386,7.13419865
19.55002816,7.15246734
19.59996246,7.17073603
19.65008448,7.18907340
19.70001877,7.20734209
19.74995307,7.22561078
19.80007509,7.24394815
19.85000939,7.26221684
19.89994368,7.28048554
19.95006570,7.29882291
20.00000000,7.31709160
20.04993430,7.33536029
20.10005632,7.35369766
20.14999061,7.37196635
20.19992491,7.39023504
20.25004693,7.40857241
20.29998123,7.42684110
20.34991552,7.44510979
20.40003754,7.46344716
20.44997184,7.48171586
20.50009386,7.50005323
20.55002816,7.51832192
20.59996246,7.53659061
20.65008448,7.55492798
20.70001877,7.57319667
20.74995307,7.59146536
20.80007509,7.60980273
20.85000939,7.62807142
20.89994368,7.64634011
20.95006570,7.66467749
21.00000000,7.68294618
21.04993430,7.70121487
21.10005632,7.71955224
21.14999061,7.73782093
21.19992491,7.75608962
21.25004693,7.77442699
21.29998123,7.79269568
21.34991552,7.81096437
21.40003754,7.82930174
21.44997184,7.84757044
21.50009386,7.86590781
21.55002816,7.88417650
21.59996246,7.90244519
21.65008448,7.92078256
21.70001877,7.93905125
21.74995307,7.95731994
21.80007509,7.97565731
21.85000939,7.99392600
21.89994368,8.01219469
21.95006570,8.03053207
22.00000000,8.04880076
22.04993430,8.06706945
22.10005632,8.08540682
22.14999061,8.10367551
22.19992491,8.12194420
22.25004693,8.14028157
22.29998123,8.15855026
22.34991552,8.17681895
22.40003754,8.19515632
22.44997184,8.21342502
22.50009386,8.23176239
22.55002816,8.25003108
22.59996246,8.26829977
22.65008448,8.28663714
22.70001877,8.30490583
22.74995307,8.32317452
22.80007509,8.34151189
22.85000939,8.35978058
22.89994368,8.37804927
22.95006570,8.39638665
23.00000000,8.41465534
23.04993430,8.43292403
23.10005632,8.45126140
23.14999061,8.46953009
23.19992491,8.48779878
23.25004693,8.50613615
23.29998123,8.52440484
23.34991552,8.54267353
23.40003754,8.56101090
23.44997184,8.57927960
23.50009386,8.59761697
23.55002816,8.61588566
23.59996246,8.63415435
23.65008448,8.65249172
23.70001877,8.67076041
23.74995307,8.68902910
23.80007509,8.70736647
23.85000939,8.72563516
23.89994368,8.74390385
23.95006570,8.76224123
24.00000000,8.78050992
24.04993430,8.79877861
24.10005632,8.81711598
24.14999061,8.83538467
24.19992491,8.85365336
24.25004693,8.87199073
24.29998123,8.89025942
24.34991552,8.90852811
24.40003754,8.92686548
24.44997184,8.94513418
24.50009386,8.96347155
24.55002816,8.98174024
24.59996246,9.00000893
24.65008448,9.01834630
