cumulative_targets_percent,cumulative_assignments_percent
38.54999239,7.47997515
38.59994672,7.48966794
38.64990104,7.49936074
38.69985537,7.50905353
38.74980970,7.51874632
38.79976403,7.52843912
38.85019411,7.53822422
38.90014844,7.54791702
38.95010276,7.55760981
39.00005709,7.56730261
39.05001142,7.57699540
39.09996575,7.58668819
39.14992007,7.59638099
39.19987440,7.60607378
39.24982873,7.61576658
39.29978306,7.62545937
39.35021314,7.63524448
39.40016747,7.64493727
39.45012179,7.65463006
39.50007612,7.66432286
39.55003045,7.67401565
39.59998478,7.68370844
39.64993910,7.69340124
39.69989343,7.70309403
39.74984776,7.71278683
39.79980209,7.72247962
39.85023217,7.73226473
39.90018650,7.74195752
39.95014082,7.75165031
40.00009515,7.76134311
40.05004948,7.77103590
40.10000381,7.78072870
40.14995813,7.79042149
40.19991246,7.80011428
40.24986679,7.80980708
40.29982112,7.81949987
40.34977544,7.82919266
40.40020553,7.83897777
40.45015985,7.84867056
40.50011418,7.85836336
40.55006851,7.86805615
40.60002284,7.87774895
40.64997716,7.88744174
40.69993149,7.89713453
40.74988582,7.90682733
40.79984015,7.91652012
40.84979447,7.92621291
40.90022456,7.93599802
40.95017888,7.94569081
41.00013321,7.95538361
41.05008754,7.96507640
41.10004187,7.97476920
41.14999619,7.98446199
41.19995052,7.99415478
41.24990485,8.00384758
41.29985918,8.01354037
41.34981350,8.02323317
41.39976783,8.03292596
41.45019791,8.04271107
41.50015224,8.05240386
41.55010657,8.06209665
41.60006090,8.07178945
41.65001522,8.08148224
41.69996955,8.09117503
41.74992388,8.10086783
41.79987821,8.11056062
41.84983253,8.12025342
41.89978686,8.12994621
41.95021694,8.13973132
42.00017127,8.14942411
42.05012560,8.15911690
42.10007993,8.16880970
42.15003425,8.17850249
42.19998858,8.18819528
42.24994291,8.19788808
42.29989724,8.20758087
42.34985156,8.21727367
42.39980589,8.22696646
42.45023597,8.23675157
42.50019030,8.24644436
42.55014463,8.25613715
42.60009896,8.26582995
42.65005328,8.27552274
42.70000761,8.28521554
42.74996194,8.29490833
42.79991627,8.30460112
42.84987059,8.31429392
42.89982492,8.32398671
42.94977925,8.33367950
43.00020933,8.34346461
43.05016366,8.35315740
43.10011799,8.36285020
43.15007231,8.37254299
43.20002664,8.38223579
43.24998097,8.39192858
43.29993530,8.40162137
43.34988962,8.41131417
43.39984395,8.42100696
43.44979828,8.43069976
43.50022836,8.44048486
43.55018269,8.45017766
43.60013702,8.45987045
43.65009135,8.46956324
43.70004567,8.47925604
43.75000000,8.48894883
43.79995433,8.49864162
43.84990865,8.50833442
43.89986298,8.51802721
43.94981731,8.52772001
43.99977164,8.53741280
44.05020172,8.54719791
44.10015605,8.55689070
44.15011038,8.56658349
44.20006470,8.57627629
44.25001903,8.58596908
44.29997336,8.59566187
44.34992769,8.60535467
44.39988201,8.61504746
44.44983634,8.62474026
44.49979067,8.63443305
44.55022075,8.64421816
44.60017508,8.65391095
44.65012941,8.66360374
44.70008373,8.67329654
44.75003806,8.68298933
