cumulative_targets_percent,cumulative_assignments_percent
29.64987700,9.25735660
29.70013955,9.27304969
29.75010644,9.28865048
29.80007332,9.30425126
29.85004021,9.31985204
29.90000710,9.33545282
29.94997398,9.35105361
29.99994087,9.36665439
30.04990775,9.38225517
30.09987464,9.39785595
30.15013719,9.41354905
30.20010407,9.42914983
30.25007096,9.44475061
30.30003784,9.46035140
30.35000473,9.47595218
30.39997162,9.49155296
30.44993850,9.50715374
30.49990539,9.52275453
30.54987227,9.53835531
30.60013482,9.55404840
30.65010171,9.56964919
30.70006859,9.58524997
30.75003548,9.60085075
30.80000237,9.61645153
30.84996925,9.63205232
30.89993614,9.64765310
30.94990302,9.66325388
30.99986991,9.67885466
31.05013246,9.69454776
31.10009934,9.71014854
31.15006623,9.72574932
31.20003311,9.74135010
31.25000000,9.75695089
31.29996689,9.77255167
31.34993377,9.78815245
31.39990066,9.80375323
31.44986754,9.81935402
31.50013009,9.83504711
31.55009698,9.85064789
31.60006386,9.86624868
31.65003075,9.88184946
31.69999763,9.89745024
31.74996452,9.91305102
31.79993141,9.92865181
31.84989829,9.94425259
31.89986518,9.95985337
31.95012773,9.97554647
32.00009461,9.99114725
32.05006150,10.00674803
32.10002838,10.02234881
32.14999527,10.03794960
32.19996216,10.05355038
32.24992904,10.06915116
32.29989593,10.08475194
32.34986281,10.10035273
32.40012536,10.11604582
32.45009225,10.13164660
32.50005913,10.14724739
32.55002602,10.16284817
32.59999290,10.17844895
32.64995979,10.19404973
32.69992668,10.20965051
32.74989356,10.22525130
32.79986045,10.24085208
32.85012300,10.25654517
32.90008988,10.27214596
32.95005677,10.28774674
33.00002365,10.30334752
33.04999054,10.31894830
33.09995742,10.33454909
33.14992431,10.35014987
33.19989120,10.36575065
33.24985808,10.38135143
33.30012063,10.39704453
33.35008752,10.41264531
33.40005440,10.42824609
33.45002129,10.44384688
33.49998817,10.45944766
33.54995506,10.47504844
33.59992195,10.49064922
33.64988883,10.50625001
